012_C.acrinasus_Thun_123125,0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,0.000163586,0.492203,0.000276971
014_C.acrinasus_Thun_123203,0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,0.00433208,0.293725,0.00691106
0121_C.wartmanii_Constance_123454,012_C.acrinasus_Thun_123125,014_C.acrinasus_Thun_123203,0.0177357,0.0142346,0.0298114
0121_C.wartmanii_Constance_123454,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.035863,1.42016e-06,0.0446515
0121_C.wartmanii_Constance_123454,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0386018,5.09831e-06,0.0474768
0121_C.wartmanii_Constance_123454,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0339355,7.96718e-05,0.0418728
0121_C.wartmanii_Constance_123454,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0354609,4.30744e-05,0.0431378
0121_C.wartmanii_Constance_123454,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0355063,4.18926e-06,0.0438562
0121_C.wartmanii_Constance_123454,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0404042,1.36978e-07,0.0507859
0121_C.wartmanii_Constance_123454,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0442254,5.59526e-09,0.0540394
0121_C.wartmanii_Constance_123454,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0379258,1.1496e-07,0.0464165
0121_C.wartmanii_Constance_123454,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.037917,6.77142e-07,0.0458156
0121_C.wartmanii_Constance_123454,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0212674,0.00183254,0.0260251
0121_C.wartmanii_Constance_123454,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0203816,0.00344394,0.0256119
0121_C.wartmanii_Constance_123454,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0179014,0.00813945,0.0222228
0121_C.wartmanii_Constance_123454,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0234265,0.00250225,0.028357
0121_C.wartmanii_Constance_123454,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.015277,0.0331095,0.0185756
0121_C.wartmanii_Constance_123454,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0203052,0.00929986,0.0243182
0122_C.wartmanii_Constance_123455,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.0332322,1.32471e-05,0.0414134
0122_C.wartmanii_Constance_123455,012_C.acrinasus_Thun_123125,023_C.fatioi_Thun_123693,0.0341097,1.00202e-05,0.0435482
0122_C.wartmanii_Constance_123455,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0314523,0.000272606,0.0390377
0122_C.wartmanii_Constance_123455,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0310067,0.000339575,0.0383469
0122_C.wartmanii_Constance_123455,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0386418,1.21176e-05,0.046689
0122_C.wartmanii_Constance_123455,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0324767,1.6374e-05,0.0406314
0122_C.wartmanii_Constance_123455,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0341731,8.28361e-06,0.0436079
0122_C.wartmanii_Constance_123455,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0366801,5.91844e-06,0.0457379
0122_C.wartmanii_Constance_123455,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0346434,1.40702e-05,0.0430113
0122_C.wartmanii_Constance_123455,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0184972,0.00603021,0.0227603
0122_C.wartmanii_Constance_123455,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0134503,0.0323893,0.0170881
0122_C.wartmanii_Constance_123455,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0118835,0.0509276,0.0149186
0122_C.wartmanii_Constance_123455,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0161027,0.0276075,0.0196798
0122_C.wartmanii_Constance_123455,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0122516,0.0682997,0.0149276
0122_C.wartmanii_Constance_123455,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0234399,0.00233455,0.0279408
0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.0491896,6.98852e-12,0.0579921
0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,022_C.fatioi_Thun_123690,0.057449,6.66134e-16,0.0698591
0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,023_C.fatioi_Thun_123693,0.0503264,1.82565e-12,0.0606982
0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0416767,8.54968e-07,0.049317
0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0514432,1.11091e-09,0.0600057
0123458_C.macrophthalmus_Constance_123458,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0468191,3.3652e-08,0.0541963
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,013_C.acrinasus_Thun_123147,0.00559615,0.222408,0.00931644
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0487615,3.59334e-10,0.0572172
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,022_C.fatioi_Thun_123690,0.0575811,4.81837e-14,0.0696971
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0507735,1.71195e-11,0.0607979
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0474576,1.02143e-09,0.0559175
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0555795,3.74145e-13,0.0645987
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.0493269,2.21331e-10,0.0567028
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,017_C.alpinus_Thun_123232,0.0532327,3.48888e-12,0.0628215
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0342021,4.63276e-07,0.0396087
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0331365,1.13462e-06,0.0394824
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0276318,5.29164e-05,0.0325763
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,058_C.steinmanni_Thun_123277,0.0595086,3.55271e-14,0.0670361
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,059_C.steinmanni_Thun_124020,0.0363578,6.64391e-07,0.0494113
