Indiv,Spp_thesis,Spp_mod,Lake,fishec_ID,Ecomorph_thesis,ecomorph_mod,standard_length,gill_raker_count,weird,syst_col,lake_col,sex
2,C. confusus,C.confusus,Biel,123402,Albeli,albeli,232,30,no,blue,paleturquoise2,f
3,C. confusus,C.confusus,Biel,123404,Albeli,albeli,230,31,no,blue,paleturquoise2,f
5,C. confusus,C.confusus,Biel,123407,Albeli,albeli,260,29,no,blue,paleturquoise2,f
6,C. palaea,C.palaea,Biel,123406,Balchen,balchen,340,missing,no,blue,paleturquoise2,m
7,C. palaea,C.palaea,Biel,123408,Balchen,balchen,313,33,yes,blue,paleturquoise2,f
10,C. palaea,C.palaea,Biel,123416,Balchen,balchen,283,25,no,blue,paleturquoise2,m
32,C. albellus,C.albellus,Brienz,123711,Albeli,albeli,115.58,42,no,green,chartreuse2,m
33,C. albellus,C.albellus,Brienz,123747,Albeli,albeli,121.47,40,no,green,chartreuse2,m
34,C. albellus,C.albellus,Brienz,123751,Albeli,albeli,117.73,40,no,green,chartreuse2,m
136,C. alpinus,C.alpinus,Brienz,47518,Balchen,balchen,289.5,29,no,green,chartreuse2,f
137,C. alpinus,C.alpinus,Brienz,47545,Balchen,balchen,189.5,26,no,green,chartreuse2,m
93,C. alpinus,C.alpinus,Brienz,124344,Balchen,balchen,231,28,no,green,chartreuse2,f
38,C. fatioi,C.fatioi,Brienz,124356,Felchen,felchen,196,35,no,green,chartreuse2,f
39,C. fatioi,C.fatioi,Brienz,124358,Felchen,felchen,216.5,38,no,green,chartreuse2,m
40,C. fatioi,C.fatioi,Brienz,124359,Felchen,felchen,202,35,no,green,chartreuse2,m
51,C. steinmanni,C.brienzii,Brienz,123430,Felchen,felchen,207,32,no,green,chartreuse2,m
53,C. steinmanni,C.brienzii,Brienz,123550,Felchen,felchen,118.08,37,no,green,chartreuse2,f
134,C. steinmanni,C.brienzii,Brienz,123358,Felchen,felchen,210.5,37,no,green,chartreuse2,f
55,C. steinmanni,C.brienzii,Brienz,124367,Felchen,felchen,201,37,no,green,chartreuse2,m
47,C. sp. “Benthic intermediate”,C.benthic_intermediate,Lucerne,28557,Felchen,felchen,251,30,no,pink,#ff4489,f
48,C. sp. “Benthic intermediate”,C.pelagic_intermediate,Lucerne,28559,Felchen,large_pelagic,237,34,yes,pink,#ff4489,f
50,C. sp. “Benthic intermediate”,C.benthic_intermediate,Lucerne,28648,Felchen,felchen,265,34,no,pink,#ff4489,m
114,C. sp. “Bodenbalchen”,C.bodenbalchen,Lucerne,28418,Balchen,balchen,317,27,no,pink,#ff4489,m
118,C. sp. “Bodenbalchen”,C.bodenbalchen,Lucerne,28449,Balchen,balchen,363,31,no,pink,#ff4489,m
119,C. sp. “Bodenbalchen”,C.bodenbalchen,Lucerne,28500,Balchen,balchen,312,27,no,pink,#ff4489,m
103,C. nobilis,C.nobilis,Lucerne,26827,Pelagic profundal,pelagic_profundal,313,39,no,pink,#ff4489,f
104,C. nobilis,C.nobilis,Lucerne,26833,Pelagic profundal,pelagic_profundal,287,38,no,pink,#ff4489,m
106,C. nobilis,C.nobilis,Lucerne,26846,Pelagic profundal,pelagic_profundal,274,39,no,pink,#ff4489,m
107,C. sp. “Pelagic intermediate”,C.pelagic_intermediate,Lucerne,28599,Felchen,large_pelagic,301.5,35,no,pink,#ff4489,f
108,C. sp. “Pelagic intermediate”,C.pelagic_intermediate,Lucerne,28716,Felchen,large_pelagic,258.5,37,no,pink,#ff4489,m
109,C. sp. “Pelagic intermediate”,C.pelagic_intermediate,Lucerne,28719,Felchen,large_pelagic,255,33,no,pink,#ff4489,m
