branch	branch_descendants	Outgroup	BN_balchen	T_profundal	X07_Cpalaea_Biel_123408	BN_albeli	X047_Cbenthic_intermediate_Lucerne_28557	C_lp	X0109_Cpelagic_intermediate_Lucerne_28719	X0129_Calpinus_Thun_123148	BT_balchen	ZW_balchen	X099_Czuerichensis_Zurich_175403	ZW_felchen	ZW_albeli	T_lp	X023_Cfatioi_Thun_123693	B_felchen	X022_Cfatioi_Thun_123690	X068_Calpnacherfelchen_Lucerne_26020	BT_albeli	X021_Cfatioi_Thun_123669	X0132_Cmacrophthalmus_Constance_123471	X0123470_Cmacrophthalmus_Constance_123470	X066_Calpnacherfelchen_Lucerne_26003	X070_Calpnacherfelchen_Lucerne_26004	X0108_Cpelagic_intermediate_Lucerne_28716	X0107_Cpelagic_intermediate_Lucerne_28599	X0128_Carenicolus_Constance_123475	X0123458_Cmacrophthalmus_Constance_123458	X0127_Carenicolus_Constance_123463	X0126_Carenicolus_Constance_123462	X050_Cbenthic_intermediate_Lucerne_28648	L_balchen	X048_Cpelagic_intermediate_Lucerne_28559	L_profundal	L_albeli
b2	T_profundal,0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669,047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli,C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	BN_balchen,07_Cpalaea_Biel_123408,BN_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli,C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	T_profundal,0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669	nan	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	07_Cpalaea_Biel_123408,BN_albeli	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7	BN_balchen	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0
b8	047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli	nan	0	0	0	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b9	C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b10	T_profundal	nan	0	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b11	0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669	nan	0	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
