branch	branch_descendants	Outgroup	BN_balchen	T_profundal	07_Cpalaea_Biel_123408	BN_albeli	047_Cbenthic_intermediate_Lucerne_28557	C_lp	0109_Cpelagic_intermediate_Lucerne_28719	0129_Calpinus_Thun_123148	BT_balchen	ZW_balchen	099_Czuerichensis_Zurich_175403	ZW_felchen	ZW_albeli	T_lp	023_Cfatioi_Thun_123693	B_felchen	022_Cfatioi_Thun_123690	068_Calpnacherfelchen_Lucerne_26020	BT_albeli	021_Cfatioi_Thun_123669	0132_Cmacrophthalmus_Constance_123471	0123470_Cmacrophthalmus_Constance_123470	066_Calpnacherfelchen_Lucerne_26003	070_Calpnacherfelchen_Lucerne_26004	0108_Cpelagic_intermediate_Lucerne_28716	0107_Cpelagic_intermediate_Lucerne_28599	0128_Carenicolus_Constance_123475	0123458_Cmacrophthalmus_Constance_123458	0127_Carenicolus_Constance_123463	0126_Carenicolus_Constance_123462	050_Cbenthic_intermediate_Lucerne_28648	L_balchen	048_Cpelagic_intermediate_Lucerne_28559	L_profundal	L_albeli
b2	T_profundal,0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669,047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli,C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	BN_balchen,07_Cpalaea_Biel_123408,BN_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli,C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	T_profundal,0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669	nan	0	nan	0.0301116	0.163462	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	07_Cpalaea_Biel_123408,BN_albeli	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0.0174723	0	0	0	0.0457531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7	BN_balchen	nan	nan	0	nan	nan	0	0	0	0	0	0.0350485	0	0	0	0	0	0	0	0	0	0	0.00822735	0	0	0	0	0	0	0	0.0097324	0	0.0261024	0.0681821	0	0	0
b8	047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli	nan	0	0	0	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b9	C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b10	T_profundal	nan	0	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b11	0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669	nan	0	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0.0292702	0.0263597	0	0	0	0	0	0	0.0257083	0	0
